Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼
1,Russell Westbrook\westbru01,PG,28,OKC,81,81,34.6,10.2,24.0,.425,2.5,7.2,.343,7.7,16.8,.459,.476,8.8,10.4,.845,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6
2,James Harden\hardeja01,PG,27,HOU,81,81,36.4,8.3,18.9,.440,3.2,9.3,.347,5.1,9.6,.530,.525,9.2,10.9,.847,1.2,7.0,8.1,11.2,1.5,0.5,5.7,2.7,29.1
3,Isaiah Thomas\thomais02,PG,27,BOS,76,76,33.8,9.0,19.4,.463,3.2,8.5,.379,5.8,10.9,.528,.546,7.8,8.5,.909,0.6,2.1,2.7,5.9,0.9,0.2,2.8,2.2,28.9
4,Anthony Davis\davisan02,C,23,NOP,75,75,36.1,10.3,20.3,.505,0.5,1.8,.299,9.7,18.6,.524,.518,6.9,8.6,.802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28.0
5,DeMar DeRozan\derozde01,SG,27,TOR,74,74,35.4,9.7,20.9,.467,0.4,1.7,.266,9.3,19.2,.484,.477,7.4,8.7,.842,0.9,4.3,5.2,3.9,1.1,0.2,2.4,1.8,27.3
6,DeMarcus Cousins\couside01,C,26,TOT,72,72,34.2,9.0,19.9,.452,1.8,5.0,.361,7.2,14.8,.483,.498,7.2,9.3,.772,2.1,8.9,11.0,4.6,1.4,1.3,3.7,3.9,27.0
7,Damian Lillard\lillada01,PG,26,POR,75,75,35.9,8.8,19.8,.444,2.9,7.7,.370,6.0,12.1,.492,.516,6.5,7.3,.895,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2.0,27.0
8,LeBron James\jamesle01,SF,32,CLE,74,74,37.8,9.9,18.2,.548,1.7,4.6,.363,8.3,13.5,.611,.594,4.8,7.2,.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4
9,Kawhi Leonard\leonaka01,SF,25,SAS,74,74,33.4,8.6,17.7,.485,2.0,5.2,.380,6.6,12.5,.529,.541,6.3,7.2,.880,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,25.5
10,Stephen Curry\curryst01,PG,28,GSW,79,79,33.4,8.5,18.3,.468,4.1,10.0,.411,4.4,8.3,.537,.580,4.1,4.6,.898,0.8,3.7,4.5,6.6,1.8,0.2,3.0,2.3,25.3
11,Kyrie Irving\irvinky01,PG,24,CLE,72,72,35.1,9.3,19.7,.473,2.5,6.1,.401,6.9,13.6,.505,.535,4.1,4.6,.905,0.7,2.5,3.2,5.8,1.2,0.3,2.5,2.2,25.2
12,Kevin Durant\duranke01,PF,28,GSW,62,62,33.4,8.9,16.5,.537,1.9,5.0,.375,7.0,11.5,.608,.594,5.4,6.2,.875,0.6,7.6,8.3,4.8,1.1,1.6,2.2,1.9,25.1
13,Karl-Anthony Towns\townska01,C,21,MIN,82,82,37.0,9.8,18.0,.542,1.2,3.4,.367,8.5,14.7,.582,.576,4.3,5.2,.832,3.6,8.7,12.3,2.7,0.7,1.3,2.6,2.9,25.1
14,Jimmy Butler\butleji01,SF,27,CHI,76,75,37.0,7.5,16.5,.455,1.2,3.3,.367,6.3,13.2,.477,.492,7.7,8.9,.865,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,23.9
15,Paul George\georgpa01,SF,26,IND,75,75,35.9,8.3,18.0,.461,2.6,6.6,.393,5.7,11.4,.501,.534,4.5,5.0,.898,0.8,5.8,6.6,3.3,1.6,0.4,2.9,2.7,23.7
16,Andrew Wiggins\wiggian01,SF,21,MIN,82,82,37.2,8.6,19.1,.452,1.3,3.5,.356,7.4,15.6,.473,.484,5.0,6.6,.760,1.2,2.8,4.0,2.3,1.0,0.4,2.3,2.2,23.6
17,Kemba Walker\walkeke02,PG,26,CHO,79,79,34.7,8.1,18.3,.444,3.0,7.6,.399,5.1,10.7,.476,.527,3.8,4.5,.847,0.6,3.3,3.9,5.5,1.1,0.3,2.1,1.5,23.2
18,Bradley Beal\bealbr01,SG,23,WAS,77,77,34.9,8.3,17.2,.482,2.9,7.2,.404,5.4,10.0,.538,.566,3.7,4.4,.825,0.7,2.4,3.1,3.5,1.1,0.3,2.0,2.2,23.1
19,John Wall\walljo01,PG,26,WAS,78,78,36.4,8.3,18.4,.451,1.1,3.5,.327,7.2,14.9,.480,.482,5.4,6.8,.801,0.8,3.4,4.2,10.7,2.0,0.6,4.1,1.9,23.1
20,CJ McCollum\mccolcj01,SG,25,POR,80,80,35.0,8.7,18.0,.480,2.3,5.5,.421,6.3,12.5,.506,.544,3.4,3.7,.912,0.8,2.9,3.6,3.6,0.9,0.5,2.2,2.5,23.0
21,Giannis Antetokounmpo\antetgi01,SF,22,MIL,80,80,35.6,8.2,15.7,.521,0.6,2.3,.272,7.6,13.5,.563,.541,5.9,7.7,.770,1.8,7.0,8.8,5.4,1.6,1.9,2.9,3.1,22.9
22,Carmelo Anthony\anthoca01,SF,32,NYK,74,74,34.3,8.1,18.8,.433,2.0,5.7,.359,6.1,13.1,.466,.488,4.1,4.9,.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4
23,Kyle Lowry\lowryky01,PG,30,TOR,60,60,37.4,7.1,15.3,.464,3.2,7.8,.412,3.9,7.5,.518,.569,5.0,6.1,.819,0.8,4.0,4.8,7.0,1.5,0.3,2.9,2.8,22.4
24,Klay Thompson\thompkl01,SG,26,GSW,78,78,34.0,8.3,17.6,.468,3.4,8.3,.414,4.8,9.3,.516,.565,2.4,2.8,.853,0.6,3.0,3.7,2.1,0.8,0.5,1.6,1.8,22.3
25,Devin Booker\bookede01,SG,20,PHO,78,78,35.0,7.8,18.3,.423,1.9,5.2,.363,5.9,13.2,.447,.475,4.7,5.7,.832,0.6,2.6,3.2,3.4,0.9,0.3,3.1,3.1,22.1
26,Gordon Hayward\haywago01,SF,26,UTA,73,73,34.5,7.5,15.8,.471,2.0,5.1,.398,5.4,10.7,.506,.536,5.0,5.9,.844,0.7,4.7,5.4,3.5,1.0,0.3,1.9,1.6,21.9
27,Blake Griffin\griffbl01,PF,27,LAC,61,61,34.0,7.9,15.9,.493,0.6,1.9,.336,7.2,14.1,.514,.513,5.2,6.9,.760,1.8,6.3,8.1,4.9,0.9,0.4,2.3,2.6,21.6
28,Eric Bledsoe\bledser01,PG,27,PHO,66,66,33.0,6.8,15.7,.434,1.6,4.7,.335,5.2,11.0,.477,.485,5.9,6.9,.847,0.8,4.1,4.8,6.3,1.4,0.5,3.4,2.5,21.1
29,Mike Conley\conlemi01,PG,29,MEM,69,68,33.2,6.7,14.6,.460,2.5,6.1,.408,4.2,8.6,.497,.545,4.6,5.3,.859,0.4,3.0,3.5,6.3,1.3,0.3,2.3,1.8,20.5
30,Brook Lopez\lopezbr01,C,28,BRK,75,75,29.6,7.4,15.6,.474,1.8,5.2,.346,5.6,10.5,.536,.531,3.9,4.9,.810,1.6,3.8,5.4,2.3,0.5,1.7,2.5,2.6,20.5
31,Goran Dragić\dragigo01,PG,30,MIA,73,73,33.7,7.3,15.4,.475,1.6,4.0,.405,5.7,11.4,.499,.527,4.1,5.2,.790,0.8,3.0,3.8,5.8,1.2,0.2,2.9,2.7,20.3
32,Marc Gasol\gasolma01,C,32,MEM,74,74,34.2,7.2,15.7,.459,1.4,3.6,.388,5.8,12.1,.480,.503,3.8,4.5,.837,0.8,5.5,6.3,4.6,0.9,1.3,2.2,2.3,19.5
33,Harrison Barnes\barneha02,PF,24,DAL,79,79,35.5,7.6,16.2,.468,1.0,2.8,.351,6.6,13.4,.492,.498,3.1,3.6,.861,1.2,3.8,5.0,1.5,0.8,0.2,1.3,1.6,19.2
34,Kevin Love\loveke01,PF,28,CLE,60,60,31.4,6.2,14.5,.427,2.4,6.5,.373,3.8,8.0,.471,.510,4.3,4.9,.871,2.5,8.6,11.1,1.9,0.9,0.4,2.0,2.1,19.0
35,Dwyane Wade\wadedw01,SG,35,CHI,60,59,29.9,6.9,15.9,.434,0.8,2.4,.310,6.2,13.5,.456,.457,3.7,4.7,.794,1.1,3.5,4.5,3.8,1.4,0.7,2.3,1.9,18.3
36,Danilo Gallinari\gallida01,SF,28,DEN,63,63,33.9,5.3,11.9,.447,2.0,5.1,.389,3.3,6.8,.491,.531,5.5,6.1,.902,0.6,4.5,5.2,2.1,0.6,0.2,1.3,1.5,18.2
37,Paul Millsap\millspa01,PF,31,ATL,69,67,34.0,6.2,14.1,.442,1.1,3.5,.311,5.1,10.6,.486,.481,4.5,5.9,.768,1.6,6.1,7.7,3.7,1.3,0.9,2.3,2.7,18.1
38,Chris Paul\paulch01,PG,31,LAC,61,61,31.5,6.1,12.9,.476,2.0,5.0,.411,4.1,7.9,.518,.555,3.8,4.3,.892,0.7,4.3,5.0,9.2,2.0,0.1,2.4,2.4,18.1
39,Kristaps Porziņģis\porzikr01,PF,21,NYK,66,65,32.8,6.7,14.9,.450,1.7,4.8,.357,5.0,10.2,.493,.507,3.0,3.8,.786,1.7,5.5,7.2,1.5,0.7,2.0,1.8,3.7,18.1
40,Derrick Rose\rosede01,PG,28,NYK,64,64,32.5,7.2,15.3,.471,0.2,0.9,.217,7.0,14.3,.487,.477,3.5,4.0,.874,1.0,2.8,3.8,4.4,0.7,0.3,2.3,1.3,18.0
41,Dennis Schröder\schrode01,PG,23,ATL,79,78,31.5,6.9,15.4,.451,1.3,3.7,.340,5.7,11.6,.487,.493,2.8,3.2,.855,0.5,2.6,3.1,6.3,0.9,0.2,3.3,1.9,17.9
42,Lou Williams\willilo02,SG,30,TOT,81,1,24.6,5.3,12.3,.429,2.0,5.5,.365,3.3,6.8,.480,.511,5.0,5.6,.880,0.3,2.2,2.5,3.0,1.0,0.2,2.0,1.1,17.5
43,LaMarcus Aldridge\aldrila01,PF,31,SAS,72,72,32.4,6.9,14.6,.477,0.3,0.8,.411,6.6,13.8,.480,.488,3.1,3.8,.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,17.3
44,Evan Fournier\fournev01,SG,24,ORL,68,66,32.9,6.0,13.7,.439,1.9,5.3,.356,4.1,8.4,.491,.508,3.3,4.1,.805,0.6,2.4,3.1,3.0,1.0,0.1,2.1,2.6,17.2
45,Hassan Whiteside\whiteha01,C,27,MIA,77,77,32.6,7.0,12.6,.557,0.0,0.0,,7.0,12.6,.557,.557,2.9,4.6,.628,3.8,10.3,14.1,0.7,0.7,2.1,2.0,2.9,17.0
46,Nikola Jokić\jokicni01,C,21,DEN,73,59,27.9,6.8,11.7,.578,0.6,1.9,.324,6.2,9.8,.628,.605,2.6,3.1,.825,2.9,6.9,9.8,4.9,0.8,0.8,2.3,2.9,16.7
47,Eric Gordon\gordoer01,SG,28,HOU,75,15,31.0,5.5,13.5,.406,3.3,8.8,.372,2.2,4.7,.468,.527,2.0,2.3,.840,0.4,2.3,2.7,2.5,0.6,0.5,1.6,2.0,16.2
48,Tobias Harris\harrito02,PF,24,DET,82,48,31.3,6.2,13.0,.481,1.3,3.8,.347,4.9,9.1,.537,.532,2.3,2.8,.841,0.8,4.3,5.1,1.7,0.7,0.5,1.2,1.6,16.1
49,Victor Oladipo\oladivi01,SG,24,OKC,67,67,33.2,6.1,13.9,.442,1.9,5.3,.361,4.3,8.7,.491,.510,1.7,2.3,.753,0.6,3.8,4.3,2.6,1.2,0.3,1.8,2.3,15.9
50,Wilson Chandler\chandwi01,SF,29,DEN,71,33,30.9,6.1,13.2,.461,1.5,4.6,.337,4.5,8.6,.527,.520,2.0,2.7,.727,1.5,5.0,6.5,2.0,0.7,0.4,1.6,2.4,15.7
51,D'Angelo Russell\russeda01,PG,20,LAL,63,60,28.7,5.6,13.8,.405,2.1,6.1,.352,3.4,7.7,.447,.483,2.3,3.0,.782,0.5,3.0,3.5,4.8,1.4,0.3,2.8,2.1,15.6
52,Jrue Holiday\holidjr01,PG,26,NOP,67,61,32.7,6.0,13.3,.454,1.5,4.2,.356,4.6,9.1,.498,.510,1.8,2.5,.708,0.7,3.3,3.9,7.3,1.5,0.7,2.9,2.0,15.4
53,Jeff Teague\teaguje01,PG,28,IND,82,82,32.4,4.9,11.1,.442,1.1,3.1,.357,3.8,8.0,.475,.492,4.4,5.1,.867,0.4,3.6,4.0,7.8,1.2,0.4,2.6,2.0,15.3
54,Nicolas Batum\batumni01,SG,28,CHO,77,77,34.0,5.1,12.7,.403,1.8,5.3,.333,3.4,7.4,.453,.472,3.2,3.7,.856,0.6,5.6,6.2,5.9,1.1,0.4,2.5,1.4,15.1
55,J.J. Redick\redicjj01,SG,32,LAC,78,78,28.2,5.1,11.4,.445,2.6,6.0,.429,2.5,5.4,.462,.558,2.3,2.6,.891,0.1,2.1,2.2,1.4,0.7,0.2,1.3,1.6,15.0
56,Serge Ibaka\ibakase01,PF,27,TOT,79,79,30.7,6.0,12.4,.480,1.6,4.0,.391,4.4,8.4,.522,.543,1.4,1.6,.856,1.6,5.2,6.8,0.9,0.5,1.6,1.3,2.7,14.8
57,Jordan Clarkson\clarkjo01,SG,24,LAL,82,19,29.2,5.8,13.1,.445,1.4,4.3,.329,4.4,8.7,.503,.500,1.6,2.0,.798,0.6,2.4,3.0,2.6,1.1,0.1,2.0,1.8,14.7
58,Nikola Vučević\vucevni01,C,26,ORL,75,55,28.8,6.4,13.7,.468,0.3,1.0,.307,6.1,12.7,.481,.480,1.4,2.1,.669,2.3,8.0,10.4,2.8,1.0,1.0,1.6,2.4,14.6
59,Tim Hardaway\hardati02,SG,24,ATL,79,30,27.3,5.3,11.5,.455,1.9,5.3,.357,3.4,6.3,.537,.537,2.1,2.7,.766,0.4,2.4,2.8,2.3,0.7,0.2,1.3,1.3,14.5
60,Myles Turner\turnemy01,C,20,IND,81,81,31.4,5.5,10.7,.511,0.5,1.4,.348,5.0,9.3,.536,.534,3.0,3.7,.809,1.7,5.6,7.3,1.3,0.9,2.1,1.3,3.2,14.5
61,T.J. Warren\warretj01,SF,23,PHO,66,59,31.0,6.1,12.3,.495,0.4,1.5,.265,5.7,10.8,.527,.511,1.8,2.3,.773,1.9,3.2,5.1,1.1,1.2,0.6,0.9,2.7,14.4
62,Enes Kanter\kanteen01,C,24,OKC,72,0,21.3,5.6,10.2,.545,0.1,0.5,.132,5.5,9.7,.568,.549,3.1,4.0,.786,2.7,4.0,6.7,0.9,0.4,0.5,1.7,2.1,14.3
63,Zach Randolph\randoza01,PF,35,MEM,73,5,24.5,5.9,13.2,.449,0.3,1.3,.223,5.6,11.9,.474,.460,1.9,2.6,.731,2.5,5.7,8.2,1.7,0.5,0.1,1.4,1.9,14.1
64,Rudy Gobert\goberru01,C,24,UTA,81,81,33.9,5.1,7.7,.661,0.0,0.0,.000,5.1,7.7,.662,.661,3.8,5.9,.653,3.9,8.9,12.8,1.2,0.6,2.6,1.8,3.0,14.0
65,Al Horford\horfoal01,C,30,BOS,68,68,32.3,5.6,11.8,.473,1.3,3.6,.355,4.3,8.2,.524,.527,1.6,2.0,.800,1.4,5.4,6.8,5.0,0.8,1.3,1.7,2.0,14.0
66,Marcus Morris\morrima03,SF,27,DET,79,79,32.5,5.3,12.7,.418,1.5,4.5,.331,3.8,8.2,.466,.477,1.8,2.3,.784,1.0,3.7,4.6,2.0,0.7,0.3,1.1,2.1,14.0
67,Markieff Morris\morrima02,PF,27,WAS,76,76,31.2,5.3,11.7,.457,0.9,2.6,.362,4.4,9.1,.483,.497,2.4,2.8,.837,1.4,5.1,6.5,1.7,1.1,0.6,1.7,3.3,14.0
68,Jae Crowder\crowdja01,SF,26,BOS,72,72,32.4,4.6,10.0,.463,2.2,5.5,.398,2.4,4.5,.540,.572,2.4,3.0,.811,0.7,5.1,5.8,2.2,1.0,0.3,1.1,2.2,13.9
69,Kentavious Caldwell-Pope\caldwke01,SG,23,DET,76,75,33.3,4.9,12.2,.399,2.0,5.8,.350,2.9,6.5,.442,.481,2.0,2.4,.832,0.7,2.5,3.3,2.5,1.2,0.2,1.1,1.6,13.8
70,Will Barton\bartowi01,SG,26,DEN,60,19,28.4,4.9,11.1,.443,1.5,3.9,.370,3.5,7.2,.483,.508,2.4,3.2,.753,1.0,3.4,4.3,3.4,0.8,0.5,1.6,1.8,13.7
71,Bojan Bogdanović\bogdabo02,SF,27,TOT,81,54,25.7,4.6,10.4,.445,1.8,4.8,.367,2.9,5.6,.512,.530,2.7,3.0,.893,0.5,3.0,3.4,1.4,0.4,0.1,1.6,1.8,13.7
72,Tyler Johnson\johnsty01,PG,24,MIA,73,0,29.8,4.9,11.3,.433,1.3,3.4,.372,3.6,7.9,.460,.490,2.7,3.5,.768,0.7,3.3,4.0,3.2,1.2,0.6,1.2,2.4,13.7
73,Ryan Anderson\anderry01,PF,28,HOU,72,72,29.4,4.5,10.7,.418,2.8,7.0,.403,1.7,3.7,.446,.550,1.8,2.1,.860,1.6,3.0,4.6,0.9,0.4,0.2,0.8,2.0,13.6
74,Andre Drummond\drumman01,C,23,DET,81,81,29.7,6.0,11.2,.530,0.0,0.1,.286,5.9,11.2,.532,.531,1.7,4.4,.386,4.3,9.5,13.8,1.1,1.5,1.1,1.9,2.9,13.6
75,Dwight Howard\howardw01,C,31,ATL,74,74,29.7,5.2,8.3,.633,0.0,0.0,.000,5.2,8.3,.635,.633,3.1,5.7,.533,4.0,8.7,12.7,1.4,0.9,1.2,2.3,2.7,13.5
76,Wesley Matthews\matthwe02,SG,30,DAL,73,73,34.2,4.6,11.6,.393,2.4,6.6,.363,2.2,5.0,.432,.496,2.0,2.5,.816,0.2,3.3,3.5,2.9,1.1,0.2,1.4,2.2,13.5
77,Otto Porter\porteot01,SF,23,WAS,80,80,32.6,5.2,10.0,.516,1.9,4.3,.434,3.3,5.8,.576,.608,1.2,1.5,.832,1.5,5.0,6.4,1.5,1.5,0.5,0.6,2.4,13.4
78,Darren Collison\collida01,PG,29,SAC,68,64,30.3,5.0,10.5,.476,1.1,2.6,.417,3.9,7.9,.495,.527,2.2,2.5,.860,0.3,1.9,2.2,4.6,1.0,0.1,1.7,1.8,13.2
79,Julius Randle\randlju01,PF,22,LAL,74,73,28.8,5.1,10.4,.488,0.2,0.9,.270,4.9,9.6,.507,.499,2.8,3.8,.723,2.0,6.6,8.6,3.6,0.7,0.5,2.3,3.4,13.2
80,Nick Young\youngni01,SG,31,LAL,60,60,25.9,4.5,10.6,.430,2.8,7.0,.404,1.7,3.5,.481,.564,1.3,1.5,.856,0.4,1.9,2.3,1.0,0.6,0.2,0.6,2.3,13.2
81,Ersan İlyasova\ilyaser01,PF,29,TOT,82,52,26.1,4.7,10.9,.431,1.7,4.9,.353,3.0,6.0,.496,.511,2.0,2.5,.778,1.4,4.5,5.9,1.7,0.7,0.3,1.4,2.6,13.1
82,Sean Kilpatrick\kilpase01,SG,27,BRK,70,24,25.1,4.4,10.5,.415,1.5,4.4,.341,2.9,6.1,.468,.486,2.9,3.5,.843,0.3,3.7,4.0,2.2,0.6,0.1,1.9,1.7,13.1
83,Robert Covington\covinro01,SF,26,PHI,67,67,31.6,4.4,10.9,.399,2.0,6.1,.333,2.3,4.8,.484,.492,2.1,2.6,.822,1.4,5.1,6.5,1.5,1.9,1.0,2.0,3.0,12.9
